Catentry ID,Reco1,Reco2,Reco3,Reco4,Reco5,Reco6,Reco7,Reco8
50029288,50029286,999938936,4740806,4745355,4777642,4758163,4756731,3621580
50034552,50245239,,,,,,,
50034584,50060345,50077561,,,,,,
50034588,50060411,,,,,,,
50034590,50060341,,,,,,,
50034690,3162889,3581688,3124209,3581700,3162973,,,
50034696,3651467,50058493,50058471,50058479,50058499,4717259,3736135,4745707
50034700,3680712,3680716,3680724,3680728,4755186,3690060,3652156,3652159
50034702,4763377,3712742,3850735,3694024,50065823,,,
50034704,3148407,,,,,,,
50036882,4740822,4736841,3438086,999899751,3143577,50090384,,
50036884,4740814,4755186,4014779,,,,,
50036886,3559474,3559472,3557078,3418854,,,,
50036900,50036906,3475575,3477295,3477293,3477291,3475503,,
50036902,50124905,3588330,3364024,3373730,3588328,3588322,3588324,3029633
50036906,50036900,3475575,3477295,3477293,3477291,3475503,,
50036914,50036902,3588330,3364024,3373730,3588328,3588322,3588324,3029633
50037072,50156480,50019324,4740822,4736841,3438086,999899751,3143577,50090384
50041106,3162233,50130268,3200603,4756769,4756763,4756767,3286026,4187637
50043666,3429118,1267733,1267741,1217549,1267779,1269169,50188049,50188047
50053945,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053947,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053949,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053951,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053957,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053961,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053965,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053967,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053969,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053971,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053973,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053977,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053979,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053981,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053983,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053985,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053987,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053993,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053997,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50053999,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054001,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054003,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054005,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054007,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054009,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054013,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054015,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054019,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054021,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054023,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054025,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054027,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054031,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054033,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054037,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054041,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054045,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054047,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054049,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054051,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054053,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054055,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054057,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054061,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054065,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054067,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054071,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054073,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054075,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054077,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054079,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054081,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054083,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054085,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054089,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054091,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054093,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054097,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054101,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50054103,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
50056919,4762001,50056979,4762471,50060449,50091010,50056967,3374018,3374086
50056921,50056967,50056987,50109550,4758462,4762487,50060443,50056973,50056951
50056923,4758432,4762487,50060443,50056973,50091148,50056971,50056951,50056943
50056925,4758460,4762461,50056983,50060459,50056953,50056961,50056933,50056975
50056927,4758460,4762461,50056983,50060459,50056925,50056961,50056933,50056975
50056929,50056955,50056975,50109542,4758426,50060435,4762493,50056969,50056931
50056931,4758426,50060435,4762493,50056969,50056961,50056981,50056933,50091084
50056933,4758426,50060435,4762493,50056969,50056931,50056961,50056981,50109544
50056935,4761961,50060421,50056985,4762477,50056947,50056939,50056977,50056945
50056937,4761961,50060421,50056985,4762477,50056947,50056939,50056977,50056945
50056939,4761961,50060421,50056985,4762477,50056947,50056977,50056945,50109548
50056941,4758432,4762487,50060443,50056973,50091148,50056971,50056951,50056943
50056943,50056971,50056951,50109546,4758462,4762487,50060443,50056973,50091148
50056945,4761961,50060421,50056985,4762477,50056947,50056939,50056977,50091116
50056947,4761961,50060421,50056985,4762477,50056939,50056977,50056945,50109548
50056949,4758432,4762487,50060443,50056973,50091148,50056971,50056951,50056943
50056951,50056971,50056943,50109546,4758462,4762487,50060443,50056973,50091148
50056953,4758460,4762461,50056983,50060459,50056925,50056961,50056933,50056975
50056955,50056929,50056975,50109542,4758426,50060435,4762493,50056969,50056931
